threshold, tp, fp, fn
1, 1, 0, 20
2, 2, 0, 19
3, 3, 0, 18
4, 4, 0, 17
5, 5, 0, 16
6, 6, 0, 15
7, 7, 0, 14
8, 8, 0, 13
9, 9, 0, 12
10, 10, 0, 11
15, 11, 4, 10
20, 11, 9, 10
25, 11, 14, 10
30, 11, 19, 10
35, 11, 24, 10
40, 11, 29, 10
45, 11, 34, 10
50, 11, 39, 10
55, 11, 44, 10
60, 11, 49, 10
65, 11, 54, 10
70, 11, 59, 10
75, 11, 64, 10
80, 11, 69, 10
85, 11, 74, 10
90, 11, 79, 10
95, 11, 84, 10
