threshold, tp, fp, fn
1, 0, 1, 27
2, 1, 1, 26
3, 2, 1, 25
4, 3, 1, 24
5, 3, 2, 24
6, 4, 2, 23
7, 5, 2, 22
8, 6, 2, 21
9, 7, 2, 20
10, 8, 2, 19
15, 8, 7, 19
20, 8, 12, 19
25, 8, 17, 19
30, 9, 21, 18
35, 9, 26, 18
40, 9, 31, 18
45, 9, 36, 18
50, 9, 41, 18
55, 9, 46, 18
60, 9, 51, 18
65, 9, 56, 18
70, 9, 61, 18
75, 9, 66, 18
80, 9, 71, 18
85, 9, 76, 18
90, 9, 81, 18
95, 9, 86, 18
