threshold, tp, fp, fn, numKnownAddresses
1, 1, 0, 51, 13265
2, 2, 0, 50, 13265
3, 3, 0, 49, 13265
4, 4, 0, 48, 13265
5, 5, 0, 47, 13265
6, 6, 0, 46, 13265
7, 7, 0, 45, 13265
8, 8, 0, 44, 13265
9, 9, 0, 43, 13265
10, 10, 0, 42, 13265
15, 14, 1, 38, 13265
20, 14, 6, 38, 13265
25, 14, 11, 38, 13265
30, 14, 16, 38, 13265
35, 14, 21, 38, 13265
40, 15, 25, 37, 13265
45, 15, 30, 37, 13265
50, 15, 35, 37, 13265
55, 15, 40, 37, 13265
60, 15, 45, 37, 13265
65, 15, 50, 37, 13265
70, 15, 55, 37, 13265
75, 15, 60, 37, 13265
80, 15, 65, 37, 13265
85, 16, 69, 36, 13265
90, 16, 74, 36, 13265
95, 16, 79, 36, 13265
