threshold, tp, fp, fn, numKnownAddresses
1, 1, 0, 51, 13219
2, 1, 1, 51, 13219
3, 2, 1, 50, 13219
4, 3, 1, 49, 13219
5, 4, 1, 48, 13219
6, 5, 1, 47, 13219
7, 6, 1, 46, 13219
8, 6, 2, 46, 13219
9, 7, 2, 45, 13219
10, 8, 2, 44, 13219
15, 11, 4, 41, 13219
20, 12, 8, 40, 13219
25, 12, 13, 40, 13219
30, 12, 18, 40, 13219
35, 12, 23, 40, 13219
40, 12, 28, 40, 13219
45, 12, 33, 40, 13219
50, 12, 38, 40, 13219
55, 12, 43, 40, 13219
60, 12, 48, 40, 13219
65, 12, 53, 40, 13219
70, 12, 58, 40, 13219
75, 12, 63, 40, 13219
80, 12, 68, 40, 13219
85, 12, 73, 40, 13219
90, 12, 78, 40, 13219
95, 12, 83, 40, 13219
