threshold, tp, fp, fn, numKnownAddresses
1, 0, 1, 52, 13197
2, 1, 1, 51, 13197
3, 2, 1, 50, 13197
4, 3, 1, 49, 13197
5, 3, 2, 49, 13197
6, 4, 2, 48, 13197
7, 5, 2, 47, 13197
8, 6, 2, 46, 13197
9, 6, 3, 46, 13197
10, 7, 3, 45, 13197
15, 10, 5, 42, 13197
20, 10, 10, 42, 13197
25, 10, 15, 42, 13197
30, 10, 20, 42, 13197
35, 10, 25, 42, 13197
40, 10, 30, 42, 13197
45, 10, 35, 42, 13197
50, 10, 40, 42, 13197
55, 10, 45, 42, 13197
60, 10, 50, 42, 13197
65, 10, 55, 42, 13197
70, 10, 60, 42, 13197
75, 10, 65, 42, 13197
80, 10, 70, 42, 13197
85, 10, 75, 42, 13197
90, 10, 80, 42, 13197
95, 10, 85, 42, 13197
