threshold, tp, fp, fn, numKnownAddresses
1, 1, 0, 47, 13283
2, 2, 0, 46, 13283
3, 3, 0, 45, 13283
4, 4, 0, 44, 13283
5, 5, 0, 43, 13283
6, 6, 0, 42, 13283
7, 7, 0, 41, 13283
8, 8, 0, 40, 13283
9, 8, 1, 40, 13283
10, 8, 2, 40, 13283
15, 9, 6, 39, 13283
20, 9, 11, 39, 13283
25, 9, 16, 39, 13283
30, 9, 21, 39, 13283
35, 9, 26, 39, 13283
40, 9, 31, 39, 13283
45, 9, 36, 39, 13283
50, 10, 40, 38, 13283
55, 10, 45, 38, 13283
60, 10, 50, 38, 13283
65, 10, 55, 38, 13283
70, 10, 60, 38, 13283
75, 10, 65, 38, 13283
80, 10, 70, 38, 13283
85, 10, 75, 38, 13283
90, 10, 80, 38, 13283
95, 10, 85, 38, 13283
