threshold, tp, fp, fn, numKnownAddresses
1, 1, 0, 40, 13296
2, 1, 1, 40, 13296
3, 2, 1, 39, 13296
4, 3, 1, 38, 13296
5, 4, 1, 37, 13296
6, 4, 2, 37, 13296
7, 5, 2, 36, 13296
8, 6, 2, 35, 13296
9, 7, 2, 34, 13296
10, 8, 2, 33, 13296
15, 11, 4, 30, 13296
20, 11, 9, 30, 13296
25, 11, 14, 30, 13296
30, 11, 19, 30, 13296
35, 11, 24, 30, 13296
40, 11, 29, 30, 13296
45, 11, 34, 30, 13296
50, 11, 39, 30, 13296
55, 11, 44, 30, 13296
60, 11, 49, 30, 13296
65, 11, 54, 30, 13296
70, 11, 59, 30, 13296
75, 11, 64, 30, 13296
80, 11, 69, 30, 13296
85, 11, 74, 30, 13296
90, 11, 79, 30, 13296
95, 11, 84, 30, 13296
