threshold, tp, fp, fn, numKnownAddresses
1, 1, 0, 60, 13503
2, 2, 0, 59, 13503
3, 3, 0, 58, 13503
4, 3, 1, 58, 13503
5, 4, 1, 57, 13503
6, 5, 1, 56, 13503
7, 6, 1, 55, 13503
8, 7, 1, 54, 13503
9, 8, 1, 53, 13503
10, 8, 2, 53, 13503
15, 10, 5, 51, 13503
20, 12, 8, 49, 13503
25, 12, 13, 49, 13503
30, 12, 18, 49, 13503
35, 12, 23, 49, 13503
40, 12, 28, 49, 13503
45, 12, 33, 49, 13503
50, 12, 38, 49, 13503
55, 12, 43, 49, 13503
60, 13, 47, 48, 13503
65, 13, 52, 48, 13503
70, 13, 57, 48, 13503
75, 13, 62, 48, 13503
80, 13, 67, 48, 13503
85, 13, 72, 48, 13503
90, 13, 77, 48, 13503
95, 13, 82, 48, 13503
